Line No,File Path,Error No,Error Message,Misra Level,MISRA Rule No
51,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9071,"""defined macro '__INTTAB_CPU2_' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
55,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9071,"""defined macro '__INTTAB_CPU3_' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
59,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9071,"""defined macro '__INTTAB_CPU4_' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
63,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9071,"""defined macro '__INTTAB_CPU6_' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
112,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,553,"""Undefined preprocessor variable 'START_SOURCECLK_XTAL' of type 'void', assumed 0""",MM-PWT 3,MISRA R 20.9
217,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON0_BASIC_'""",MM-PWT 1,MISRA R 1.3
218,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON0_BASIC_'""",MM-PWT 1,MISRA R 1.3
219,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON0_BASIC_'""",MM-PWT 1,MISRA R 1.3
220,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON0_BASIC_'""",MM-PWT 1,MISRA R 1.3
221,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON0_BASIC_'""",MM-PWT 1,MISRA R 1.3
294,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON1_BASIC_'""",MM-PWT 1,MISRA R 1.3
295,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON1_BASIC_'""",MM-PWT 1,MISRA R 1.3
296,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON1_BASIC_'""",MM-PWT 1,MISRA R 1.3
297,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON1_BASIC_'""",MM-PWT 1,MISRA R 1.3
298,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON1_BASIC_'""",MM-PWT 1,MISRA R 1.3
299,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro 'HAL_START_CFG_CCUCON1_BASIC_'""",MM-PWT 1,MISRA R 1.3
428,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,553,"""Undefined preprocessor variable 'TC38X' of type 'void', assumed 0""",MM-PWT 3,MISRA R 20.9
530,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,553,"""Undefined preprocessor variable 'TC38X' of type 'void', assumed 0""",MM-PWT 3,MISRA R 20.9
622,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,760,"""Redundant macro 'HAL_START_MODCFG_BITS_15_10' of type 'void' defined identically at line 438""",MM-PWT 7,N/A
623,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,760,"""Redundant macro 'HAL_START_MODCFG_BITS_9_0_MASK' of type 'void' defined identically at line 437""",MM-PWT 7,N/A
624,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/start/start_kernel/start_kernel_cfg.h,760,"""Redundant macro 'HAL_START_MODCFG_BITS_15_10_MASK' of type 'void' defined identically at line 436""",MM-PWT 7,N/A
57,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/hal_arch/compilation/Ifx_Cfg.h,553,"""Undefined preprocessor variable 'TC39XU' of type 'void', assumed 0""",MM-PWT 3,MISRA R 20.9
99,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/hal_arch/compilation/Ifx_Cfg.h,553,"""Undefined preprocessor variable 'TC26XU' of type 'void', assumed 0""",MM-PWT 3,MISRA R 20.9
107,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/hal_arch/compilation/Ifx_Cfg.h,553,"""Undefined preprocessor variable 'TC26XU' of type 'void', assumed 0""",MM-PWT 3,MISRA R 20.9
159,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/hal_arch/compilation/Ifx_Cfg.h,9071,"""defined macro '__jump_and_link' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
162,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/hal_arch/compilation/Ifx_Cfg.h,9023,"""Multiple use of '#/##' operators in definition of macro '__jump_and_link'""",MM-PWT 1,MISRA R 1.3
166,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/sdc/sdc_kernel/hal/hal_arch/compilation/Ifx_Cfg.h,9071,"""defined macro '__jump_to_link' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
55,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,760,"""Redundant macro 'EE_MM_OPT' of type 'void' defined identically at line 51""",MM-PWT 7,N/A
60,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,9071,"""defined macro '__USTACK1_END' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
62,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,9071,"""defined macro '__USTACK2_END' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
64,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,9071,"""defined macro '__USTACK3_END' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
66,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,9071,"""defined macro '__USTACK4_END' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
68,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,9071,"""defined macro '__USTACK6_END' is reserved to the compiler""",MM-PWT 2,MISRA R 21.1
3683,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h,793,"""ANSI/ISO limit of 4095 'macros in module' exceeded -- processing is unaffected""",MM-PWT 1,MISRA D 1.1
39,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_applcfg.h,760,"""Redundant macro 'OS_EE_RTD_GEN_VERSION' of type 'void' defined identically at line 29, file /synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_oscfg.h""",MM-PWT 7,N/A
103,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_cfg.h'""",MM-PWT 7,N/A
104,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_arch_override.h'""",MM-PWT 7,N/A
104,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_utils.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_arch_override.h'""",MM-PWT 7,N/A
100,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_compiler_cfg.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_cfg.h'""",MM-PWT 7,N/A
107,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,537,"""Repeated include file '/opt/case/hightec/toolchains/tricore/v4.9.3.0/tricore/include/limits.h'""",MM-PWT 7,N/A
109,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,451,"""Header file '/opt/case/hightec/toolchains/tricore/v4.9.3.0/tricore/include/stdint.h' repeatedly included but does not have a standard include guard""",MM-PWT 3,MISRA D 4.10
157,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,9027,"""Unpermitted operand to operator '&&'""",MM-PWT 2,MISRA R 10.1
160,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,9027,"""Unpermitted operand to operator '&&'""",MM-PWT 2,MISRA R 10.1
163,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,9027,"""Unpermitted operand to operator '&&'""",MM-PWT 2,MISRA R 10.1
166,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,9027,"""Unpermitted operand to operator '&&'""",MM-PWT 2,MISRA R 10.1
170,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,9027,"""Unpermitted operand to operator '&&'""",MM-PWT 2,MISRA R 10.1
200,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,963,"""Qualifier const or volatile follows a type; use -fqb to reverse the test""",MM-PWT 7,N/A
204,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h,963,"""Qualifier const or volatile follows a type; use -fqb to reverse the test""",MM-PWT 7,N/A
103,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_compiler.h'""",MM-PWT 7,N/A
104,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_utils.h'""",MM-PWT 7,N/A
103,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_cfg.h'""",MM-PWT 7,N/A
104,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h'""",MM-PWT 7,N/A
105,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_compiler.h'""",MM-PWT 7,N/A
106,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_utils.h'""",MM-PWT 7,N/A
96,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal_irq.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_cfg.h'""",MM-PWT 7,N/A
96,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_cfg.h'""",MM-PWT 7,N/A
101,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_platform_types.h'""",MM-PWT 7,N/A
102,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_compiler.h'""",MM-PWT 7,N/A
103,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,537,"""Repeated include file '/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_utils.h'""",MM-PWT 7,N/A
270,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,950,"""Non-ANSI reserved word or construct: 'inline'""",MM-PWT 4,MISRA R 1.2
276,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,530,"""Symbol 'tin' of type 'OsEE_tc_tin' (line 272) not initialized""",MM-PWT 0,MISRA R 9.1
277,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_tc_trapvec.h,953,"""Variable 'tin' of type 'OsEE_tc_tin' (line 272) could be declared as const""",MM-PWT 6,N/A
129,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,723,"""Suspicious use of =""",MM-PWT 6,N/A
173,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,9023,"""Multiple use of '#/##' operators in definition of macro 'osEE_tc_setareg2'""",MM-PWT 1,MISRA R 1.3
180,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,9023,"""Multiple use of '#/##' operators in definition of macro 'osEE_tc_getareg2'""",MM-PWT 1,MISRA R 1.3
184,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
185,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,718,"""Symbol '__builtin_clz' of type 'void' undeclared, assumed to return int""",MM-PWT 1,MISRA R 17.3
186,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'reg' of type 'OsEE_reg' (line 184) could be declared const""",MM-PWT 4,MISRA R 17.8
195,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
201,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,953,"""Variable 'sp' of type 'OsEE_stack *' (line 197) could be declared as const""",MM-PWT 6,N/A
204,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
256,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
261,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
266,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
271,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
276,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
281,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
286,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
295,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,530,"""Symbol 'res' of type 'OsEE_reg' (line 289) not initialized""",MM-PWT 0,MISRA R 9.1
296,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'reg' of type 'OsEE_reg' (line 287) could be declared const""",MM-PWT 4,MISRA R 17.8
323,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
326,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,923,"""cast from unsigned long to pointer""",MM-PWT 3,MISRA R 11.6
327,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'addr' of type 'OsEE_reg' (line 324) could be declared const""",MM-PWT 4,MISRA R 17.8
337,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
340,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,923,"""cast from unsigned long to pointer""",MM-PWT 3,MISRA R 11.6
341,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'addr' of type 'OsEE_reg' (line 338) could be declared const""",MM-PWT 4,MISRA R 17.8
351,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
354,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,923,"""cast from unsigned long to pointer""",MM-PWT 3,MISRA R 11.6
355,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'addr' of type 'OsEE_reg' (line 352) could be declared const""",MM-PWT 4,MISRA R 17.8
365,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
368,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,923,"""cast from unsigned long to pointer""",MM-PWT 3,MISRA R 11.6
369,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'addr' of type 'OsEE_reg' (line 366) could be declared const""",MM-PWT 4,MISRA R 17.8
379,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
382,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,923,"""cast from unsigned long to pointer""",MM-PWT 3,MISRA R 11.6
383,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'addr' of type 'OsEE_reg' (line 380) could be declared const""",MM-PWT 4,MISRA R 17.8
393,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,950,"""Non-ANSI reserved word or construct: '__attribute__'""",MM-PWT 4,MISRA R 1.2
396,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,923,"""cast from unsigned long to pointer""",MM-PWT 3,MISRA R 11.6
397,/synergy_wa/CM_11_VE/10xx~cm37bo~2-cm11ve~Rel7_1/10xx/erika/ee_hal.h,952,"""Parameter 'addr' of type 'OsEE_reg' (line 394) could be declared const""",MM-PWT 4,MISRA R 17.8
